neighbourhood_cleansed,Budget,Average,Expensive
Allston,124,40,17
Back Bay,11,87,135
Bay Village,3,6,7
Beacon Hill,13,73,82
Brighton,79,39,15
Charlestown,15,28,33
Chinatown,5,11,25
Dorchester,168,41,13
Downtown,5,38,75
East Boston,78,38,20
Fenway,51,53,81
Hyde Park,20,2,3
Jamaica Plain,157,85,52
Leather District,0,2,1
Longwood,2,1,0
Mattapan,15,3,0
Mission Hill,52,18,11
North End,7,68,44
Roslindale,37,9,4
Roxbury,63,30,20
South Boston,33,70,50
South Boston Waterfront,0,19,39
South End,26,120,117
West End,3,8,16
West Roxbury,25,5,3
