Unnamed: 0,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,review_scores_rating,instant_bookable,amenities_count,price_category,cal_availability_rate,review_count
0,False,1,Roslindale,42.286240821867416,-71.13437396457161,Apartment,Private room,2,1.0,1.0,1.0,26,54,84,359,94.0,True,21,Budget,1.0,36
1,True,1,Roslindale,42.2924378866568,-71.13576525374667,Apartment,Private room,2,1.0,1.0,1.0,19,46,61,319,98.0,False,18,Budget,1.0,41
2,False,1,Roslindale,42.28110618827366,-71.12102117350553,House,Private room,4,1.0,1.0,2.0,6,16,26,98,100.0,False,23,Budget,1.0,1
3,True,1,Roslindale,42.28451220982457,-71.1362580468337,House,Private room,2,1.5,1.0,2.0,13,34,59,334,99.0,False,14,Budget,1.0,29
4,True,2,Roslindale,42.29168980076903,-71.13189277475922,Condominium,Private room,2,1.0,1.0,1.0,5,28,58,58,100.0,False,13,Budget,1.0,8
5,False,5,Roslindale,42.28138962623448,-71.13119041987277,Apartment,Entire home/apt,3,1.0,1.0,2.0,22,39,69,344,90.0,False,13,Budget,1.0,57
6,True,2,Roslindale,42.28194609607024,-71.14102161135577,House,Private room,2,2.0,1.0,1.0,30,60,90,365,96.0,False,23,Budget,1.0,67
7,True,1,Roslindale,42.28587763920193,-71.12490955692161,Condominium,Private room,2,1.0,1.0,2.0,12,42,72,347,96.0,False,10,Budget,1.0,65
8,True,2,Roslindale,42.28882028358453,-71.13951010210121,Apartment,Entire home/apt,5,1.0,2.0,2.0,20,50,80,107,94.0,False,22,Expensive,1.0,33
9,False,1,Roslindale,42.286448197788786,-71.13932538848039,House,Private room,2,1.0,1.0,1.0,16,38,68,343,80.0,False,16,Budget,1.0,1
10,True,2,Roslindale,42.281941832424685,-71.13337190191741,House,Private room,1,1.0,1.0,1.0,6,36,66,341,94.0,False,14,Budget,1.0,17
